elapsed_s,temperature.gpu,temperature.gpu.tlimit,power.draw,utilization.gpu,memory.used,clocks_event_reasons.hw_thermal_slowdown,clocks_event_reasons.sw_thermal_slowdown,clocks_event_reasons.hw_power_brake_slowdown
3467.5,43,31,22.23,0,14361,Not Active,Not Active,Not Active
3477.6,43,31,21.64,0,14361,Not Active,Not Active,Not Active
3487.6,42,32,21.45,0,14361,Not Active,Not Active,Not Active
3497.7,49,25,170.27,0,11843,Not Active,Not Active,Not Active
3507.8,46,28,39.82,0,11549,Not Active,Not Active,Not Active
3517.8,48,26,78.61,0,11607,Not Active,Not Active,Not Active
3527.9,51,23,200.09,0,14259,Not Active,Not Active,Not Active
3537.9,46,28,22.25,1,11461,Not Active,Not Active,Not Active
3548.0,45,29,22.14,0,11461,Not Active,Not Active,Not Active
3558.0,45,29,22.12,0,11461,Not Active,Not Active,Not Active
3568.1,44,30,21.76,0,11461,Not Active,Not Active,Not Active
3578.1,44,30,22.07,0,11461,Not Active,Not Active,Not Active
3588.1,43,31,22.03,0,11461,Not Active,Not Active,Not Active
3598.2,43,31,21.96,1,11461,Not Active,Not Active,Not Active
3608.2,43,31,22.20,0,11461,Not Active,Not Active,Not Active
3618.3,42,32,21.86,0,11461,Not Active,Not Active,Not Active
3628.3,44,30,55.63,0,11715,Not Active,Not Active,Not Active
3638.4,55,25,204.22,8,11771,Not Active,Not Active,Not Active
3648.4,59,9,116.07,100,14363,Not Active,Not Active,Not Active
3658.5,50,13,151.54,0,14189,Not Active,Not Active,Not Active
3668.5,47,27,27.89,0,11649,Not Active,Not Active,Not Active
3678.6,45,29,22.83,0,11649,Not Active,Not Active,Not Active
3688.6,45,29,21.95,1,11649,Not Active,Not Active,Not Active
3698.7,44,30,22.10,0,11649,Not Active,Not Active,Not Active
3708.8,44,30,21.80,0,11649,Not Active,Not Active,Not Active
3718.8,43,31,21.81,0,11649,Not Active,Not Active,Not Active
3729.0,43,31,21.60,0,11649,Not Active,Not Active,Not Active
3739.0,43,32,21.70,0,11649,Not Active,Not Active,Not Active
3749.1,42,32,21.64,0,11649,Not Active,Not Active,Not Active
3759.1,53,28,98.28,100,12009,Not Active,Not Active,Not Active
3769.2,58,15,83.01,13,14217,Not Active,Not Active,Not Active
3779.2,62,18,118.26,99,11715,Not Active,Not Active,Not Active
3789.3,46,27,32.62,84,11221,Not Active,Not Active,Not Active
3799.3,50,24,84.56,0,11683,Not Active,Not Active,Not Active
3809.4,45,28,22.28,0,11683,Not Active,Not Active,Not Active
3819.4,45,29,21.91,0,11683,Not Active,Not Active,Not Active
3829.5,44,30,22.31,0,11683,Not Active,Not Active,Not Active
3839.5,44,30,21.94,0,11683,Not Active,Not Active,Not Active
3849.6,43,31,22.09,0,11683,Not Active,Not Active,Not Active
3859.6,43,31,21.92,0,11683,Not Active,Not Active,Not Active
3869.7,43,32,21.79,0,11683,Not Active,Not Active,Not Active
3879.7,42,32,21.89,0,11683,Not Active,Not Active,Not Active
3889.7,45,29,135.31,0,11683,Not Active,Not Active,Not Active
3899.8,44,30,39.92,0,11655,Not Active,Not Active,Not Active
3909.8,45,29,39.93,0,11561,Not Active,Not Active,Not Active
3919.9,47,27,79.23,0,11653,Not Active,Not Active,Not Active
3929.9,51,24,257.55,0,14313,Not Active,Not Active,Not Active
3940.0,46,28,22.24,1,11719,Not Active,Not Active,Not Active
3950.0,45,29,22.39,0,11719,Not Active,Not Active,Not Active
3960.1,44,30,21.87,0,11719,Not Active,Not Active,Not Active
3970.1,44,30,22.36,0,11719,Not Active,Not Active,Not Active
3980.2,43,31,22.03,0,11719,Not Active,Not Active,Not Active
3990.2,43,31,21.92,1,11719,Not Active,Not Active,Not Active
4000.2,42,32,22.08,0,11719,Not Active,Not Active,Not Active
4010.3,42,32,21.79,0,11719,Not Active,Not Active,Not Active
4020.3,42,32,21.57,0,11719,Not Active,Not Active,Not Active
4030.4,52,25,209.05,0,11749,Not Active,Not Active,Not Active
4040.4,45,21,35.78,65,11669,Not Active,Not Active,Not Active
4050.5,47,27,73.86,0,11749,Not Active,Not Active,Not Active
4060.5,49,25,96.09,0,11691,Not Active,Not Active,Not Active
4070.6,50,26,85.23,0,14341,Not Active,Not Active,Not Active
